,E_Equipment Serial Number,M_Module Serial Number,E_OEM Nameplate SN,M_Module OEM Nameplate SN,P_Site Customer Legacy Code,P_Site Customer Name,P_Plant Name,P_Site Country,P_Sales Region,E_Equipment Type,M_Module Type,E_Equipment Code,M_Module Code,E_Equipment Model,M_Module Model,E_Equipment Status,M_Module Status,E_Manufacturing Location,M_Module Manufacturing Location,E_Contract Type,M_Module Contract Type,P_Plant Account Manager Fullname,P_Plant Account Manager SSO or 4-3-1,P_Country Code 2Alpha,P_Cust Parent Commercial Entity Code,P_Cust Parent Commercial Entity Name,P_Cust Global Commercial Entity Name,P_Cust Global Commercial Entity Code,P_Site Operator Address Line 1,P_Site Operator Address Line 2,P_Site Operator City,P_Site Operator Country,P_Site Operator Country Iso Code,P_Site Operator Country Iso Name,P_Site Operator Postal Code,P_Site Operator State,P_Site Owner Country,P_Site Owner Country Iso Code,P_Site Owner Country Iso Name,P_Cust Parent HQ Adr Line 1,P_Cust Parent HQ Adr Line 2,P_Cust Parent HQ City,P_Cust Parent HQ Country,P_Cust Parent HQ Legacy Code,P_Cust Parent HQ Party Name,P_Cust Parent HQ State,P_Cust Parent HQ Zip Code,P_Cust Site Trade Style Name,P_GE Industry,P_Gps Coordinates Verified,P_Merged To Plant Sys Id,P_Network Name,P_Network Type,P_Site Operator Legacy Code,P_Site Operator Name,P_Site Owner Legacy Code,P_Site Owner Name,P_Plant Address Verified,P_Plant Latitude,P_Plant Longitude,P_Plant Record Status,P_Plant Status,P_Plant Sys Id,P_Sanctioned Country,P_Site Address Line 1,P_Site Address Line 2,P_Site City,P_Site Country ISO Name,P_Site Postal Code,P_Site State,P_Watchlist Flag,P_PLANT Parent Sys Id,B_Block Sys Id,B_Block Name,B_Block Status,B_Block Parent Sys Id,B_Block Record Status,B_Merged To Block Sys Id,B_Block Type,T_Compr Sour Service,T_Location,T_Merged To Train Sys Id,T_Train Commissioning Date,T_Train Name,T_Train Parent Sys Id,T_Train Record Status,T_Train Service Type,T_Train Status,T_Train Sys Id,E_Account Manager Fullname,E_Account Manager SSO or 4-3-1,E_Agreement ID,E_Agreement Name,E_Altitude,E_Anti Ice Sys,E_Combustion System,E_Compr Cylinder Lube,E_Compr Cylinder Valve,E_Compr Impeller/Cylinder Number,E_Compr Impeller Size,E_Compr Phase Num,E_Compr Pressure Class,E_Compr Process Gas,E_Compr Sealing,E_Control Curve Doc Code,E_Control Curve Type,E_Control OEM,E_Control System,E_Control Type,E_Cooling System,E_Contract Job Number,E_Contract End Date,E_Contract Start Date,E_Design Humidity,E_Driver/Driven Equipment,E_DS Exception,E_Design Ambient Temp,E_Duty Cycle,E_Environment,E_Equipment Class,E_Expected COD,E_Actual COD,E_Install Start Date,E_Equipment Latitude,E_Equipment Longitude,E_Equipment Name,E_Equipment Parent Sys Id,E_Equipment Record Status,E_Equipment Sys Id,E_Excitation System,E_Exciter Config,E_Exciter Model,E_Exciter OEM,E_Exciter Type,E_Expected Retirement Year,E_Extendor Kit Installed,E_Ibh Installed,E_Ibh System Inlet Exhaust,E_Igv,E_Inlet Filter,E_Inlet Pres Drop,E_Machine Mgt Sys,E_Main Warranty Active,E_Main Warranty End Date,E_Main Warranty Pm Fullname,E_Main Warranty PM SSO or  4-3-1,E_Main Warranty Project,E_Main Warranty Start Date,E_Manufacturer Group,E_Master Job,E_Max Ambient Temp,E_Merged To Equipment Sys Id,E_Min Ambient Temp,E_Equipment Job Number
0,G10764,,G10764,,428138630,LUCART SPA,PORCARI,ITALY,Europe & North Sea,HD Gas Turbine,,NOVALT12,,NOVA LT12,,InService,,"Florence, Italy",,CSA,,,,IT,CE0002519,LUCART,LUCART,CE0002519,Via Giovanni Bettolo 6,,ROMA,ITALY,IT,Italy,00195,,ITALY,IT,Italy,Via Giovanni Bettolo 6,,ROMA,ITALY,431066440,PASFIN SPA,,00195,ECOLUCART,Pulp & paper,N,,,,431066440,PASFIN SPA,431066440,PASFIN SPA,N,43.847323,10.60651,Active,InService,PLA00000556,N,Via Ciarpi 77,,PORCARI,Italy,55016,LU,N,MPCCE0002519,BLC033542,PORCARI LUCCHESE,InService,PLA00000556,Active,,,,,,2021-12-22,PORCARI - GT2,BLC033542,Active,,InService,UNI800098,"Menchi, Alberto",105706555,AGR603,Lucart Nova LT12,,,,,,,,,,,,,,,,,,"2856339,285X170",2042-03-12,2017-03-13,,Generator,,,,,,,2021-12-22,,,,PORCARI/GT,UNI800098,Active,SY8007635,,,,,,,,,,,,,,,,,,,,BAKER HUGHES,,,,,0315252
1,G09632,,G09632,,CAT190528,"GASODUCTOS DE TAMAULIPAS,SDE RL DE CV",Los Indios,MEXICO,Latin America,HD Gas Turbine,,GE10/2,,GE10/2,,InService,,"Florence, Italy",,CSA,,,,MX,CE0026984,GASODUCTOS DE TAMAULIPASSDE,GASODUCTOS DE TAMAULIPASSDE,CE0026984,"ANDRES BELLO NO. 45, PISO 14","CHAPULTEPEC POLANCO, MIGUEL HIDALGO",CIUDAD DE MEXICO,MEXICO,MX,Mexico,11560,CIUDAD DE MEXICO,MEXICO,MX,Mexico,CAMPOS ELÍSEOS NO. 345 PISO 4.,"CHAPULTEPEC POLANCO, MIGUEL HIDALGO",CIUDAD DE MEXICO,MEXICO,588211594,"GASODUCTOS DE TAMAULIPAS, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,11560,,,Y,,,,812442564,"GASODUCTOS DE CHIHUAHUA, S. DE R.L. DE C.V.",812442564,"GASODUCTOS DE CHIHUAHUA, S. DE R.L. DE C.V.",Y,25.131279,-98.191466,Active,InService,PLA00237136,N,ESTACION LOS INDIOSAL KM 16 DE LA CARRETERA 97,,REYNOSA,,,TAMAULIPAS,N,MPCCE0026984,,,,,,,,,,,2003-11-09,LOS INDIOS-GT-PK172,PLA00237136,Active,Simple Cycle,InService,UNI257657,,,AGR474,Gasoductos,,,DRY LOW NOX 1,,,,,,,,,,,GE,Mark VI,,,"285X090,EW GASODUCTOS On,2858073,2858179,239X029,2397387,174901",2023-03-31,2017-03-31,,Compressor,,,Continuous - Greater than 6000 hrs/yr,,SMALL FRAMES,,2020-09-04,,,,LOS INDIOS-PK172-GT,UNI257657,Active,SY8006805,,,,,,,,,,,,,,,,,,,,BAKER HUGHES,,,,,5847287
2,G09384,,G09384,,CAT257377,BELAYIM PETROLEUM COMPANY,PORT FOUAD,EGYPT,MENAT,HD Gas Turbine,,PGT10/2,,PGT10/2,,InService,,"Florence, Italy",,CSA,,,,EG,CE0001437,ENI,ENI,CE0001437,"5, El Mokhaim El Daem Street",Beside Nasr City ClubPo Box 7074,CAIRO,EGYPT,EG,Egypt,,CAIRO,EGYPT,EG,Egypt,"5, El Mokhaim El Daem Street",Beside Nasr City ClubPo Box 7074,CAIRO,EGYPT,645069295,BELAYIM PETROLEUM COMPANY,CAIRO,,,,Y,,,,645069295,BELAYIM PETROLEUM COMPANY,645069295,BELAYIM PETROLEUM COMPANY,N,31.305853,32.155545,Active,InService,PLA00233650,N,ELGARABAA ROAD,,PORT SAID,Egypt,,,N,MPCCE0001437,,,,,,,,,,,1999-09-30,PORT FOUAD-GT-UNIT B,PLA00233650,Active,Simple Cycle,InService,UNI277077,"Corsaro, Massimo",105710947,AGR9,Petrobel,,,Standard (Non DLN),,,,,,,,,,,,,,,"285X151,2858197,2854548,2858230,2854606,285X009",2023-07-29,2005-09-15,,Compressor,,,,"Desertic (dry, hot, dust)",SMALL FRAMES,,2021-03-25,,31.305853,32.155545,PORT FOUAD-GT-UNIT B-GT,UNI277077,Active,SY8002370,,,,,,,,,,,,,,,,,,,,BAKER HUGHES,,,,,5846946
3,GG481539,,481539,,CAT356608,"DCP OPERATING COMPANY, LP",GOLDSMITH,UNITED STATES,North America,Gas Generator,,LM2500,,PE-MGW,,InService,,GE Aero Energy Products,,CSA,,,,US,CE0001793,DCP MIDSTREAM,DCP MIDSTREAM,CE0001793,370 17th St Ste 2500.,,DENVER,UNITED STATES,US,United States of America,80202-5604,COLORADO,UNITED STATES,US,United States of America,370 17TH ST STE 2500,,DENVER,UNITED STATES,003048753,"DCP MIDSTREAM, LP",COLORADO,80202-5604,,"Mining, minerals & metals",Y,,,,007118276,DCP MIDSTREAM LLC,007118276,DCP MIDSTREAM LLC,Y,31.97994,-102.635,Active,InService,PLA00446583,N,PO BOX 982265,,EL PASO,United States of America,79998-2265,TX,N,MPCCE0001793,,,,,,,,,Onshore,,1986-03-31,GOLDSMITH GT1,PLA00446583,Active,,InService,UNI800201,"Rigaglia, Pierangelo",105046212,AGR396,DCP Midstream,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"2392129,2854498,2854499,239X023",2025-11-25,2000-03-01,,,,,,,,,,,31.97994,-102.635,GOLDSMITH GT1,UNI800201,Active,SY8002358,,,,,,,,,,,,,,,,,,,,GE,,,,,
4,GG679174,,679174,,CAT828248,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,MV26 - CIDADE DE ITAGUAI,BRAZIL,Latin America,Gas Generator,,LM2500+G4,,RC-MD,,InService,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,CE0001245,MITSUI ENGINEERING AND SHIPBUILDING,MITSUI ENGINEERING AND SHIPBUILDING,CE0001245,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,BR,Brazil,27933-420,RJ,BRAZIL,BR,Brazil,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,RJ,27933-420,MV26 - CIDADE DE ITAGUAI,,N,,,,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,Y,-25.13997,-42.944271,Active,InService,PLA00235050,N,"Iracema Norte Area Of Lula Field, In The Pre-Salt Layer Of Santos Basin",,TERRITORIAL WATERS,,00000-000,SP,N,MPCCE0001245,,,,,,,,,Offshore - FPSO,,2015-12-15,MV26 - CIDADE DE ITAGUAI-GT-GTB,PLA00235050,Active,Cogeneration,InService,UNI258587,"Oliveira Filho, Jorge",210030578,AGR440,Modec,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"2392148,239X025,2854490,2854491,ON SHORE,EW MODEC Onshore,285X165",2038-06-30,2016-07-01,,,,,,,,,2013-11-15,,,,MV26 - CIDADE DE ITAGUAI-GT-SPARE-GG,UNI258587,Active,SY8002114,,,,,,,,,,,,,,,,,,,,GE,,,,,
5,GG641119,,641119,,CAT241838,"BP TRINIDAD & TOBAGO, LLC",CASSIA,TRINIDAD AND TOBAGO,North America,Gas Generator,,LM2500+,,GV-MDW,,Storage,,GE Aero Energy Products,,CSA,,,,TT,CE0001005,BP,BP,CE0001005,5-5A QUEEN'S,PARK WEST,PORT-OF-SPAIN,TRINIDAD AND TOBAGO,TT,Trinidad and Tobago,,,TRINIDAD AND TOBAGO,TT,Trinidad and Tobago,5-5A QUEEN'S,PARK WEST,PORT-OF-SPAIN,TRINIDAD AND TOBAGO,857260426,"BP TRINIDAD AND TOBAGO, LLC",,,,,Y,,,,857260426,"BP TRINIDAD AND TOBAGO, LLC",857260426,"BP TRINIDAD AND TOBAGO, LLC",Y,9.995717,-60.7207,Active,InService,PLA00445485,N,"2ND FLOOR, ALBION PLAZA",ACCTS DEPT-TEAM LEADER-INV PROC'ING,PORT OF SPAIN,,,,N,MPCCE0001005,,,,,,,,,,,,,,,,,,,,AGR602,ISO - Cassia Platform LTSA,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"2854561,285X163,2854593,TT00004,TT0X001,2858236,285X178",2038-11-12,2021-01-01,,,,,,,,,2003-09-16,,,,CASSIA GT6-GG,PLA00445485,Active,SY8000721,,,,,,,,,,,,,,,,,,,,GE,,,,,
6,GG679407,,679407,,,SBM OFFSHORE,MERO 2,BRAZIL,Latin America,Gas Generator,,LM2500+G4,,RC-MD,,Under Installation,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,,,,,"FPSO SEPETIBA, SANTOS BASIN, BRAZIL",,,BRAZIL,,,,,BRAZIL,,,,,,,,,,,,,N,,,,,SBM OFFSHORE,,SBM OFFSHORE,N,6.43478769999999,3.43994109999994,Active,Under Installation,PLA00449611,N,"FPSO SEPETIBA, SANTOS BASIN, BRAZIL",,,,,,N,,,,,,,,,,,,,MERO2 - GTG4,PLA00449611,Active,,Under Installation,UNI761110,"Oliveira Filho, Jorge",210030578,AGR375,SBM,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"285X075,285X076,285X077,285X078,285X079,SBM-OnShore,2856394,2856395,2856396,2856397,2856398,SBM Onshore Post reset,2856399,2398329",2033-05-19,2015-12-31,,,,,,,,2023-01-02,,,,,MERO 2 - GTG4 - GG,UNI761110,Active,SY1411629,,,,,,,,,,,,,,,,,,,,GE,,,,,
7,GG679404,,679404,,,SBM OFFSHORE,MERO 2,BRAZIL,Latin America,Gas Generator,,LM2500+G4,,RC-MD,,Under Installation,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,,,,,"FPSO SEPETIBA, SANTOS BASIN, BRAZIL",,,BRAZIL,,,,,BRAZIL,,,,,,,,,,,,,N,,,,,SBM OFFSHORE,,SBM OFFSHORE,N,6.43478769999999,3.43994109999994,Active,Under Installation,PLA00449611,N,"FPSO SEPETIBA, SANTOS BASIN, BRAZIL",,,,,,N,,,,,,,,,,,,,MERO2 - GTG3,PLA00449611,Active,,Under Installation,UNI761109,"Oliveira Filho, Jorge",210030578,AGR375,SBM,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"285X075,285X076,285X077,285X078,285X079,SBM-OnShore,2856394,2856395,2856396,2856397,2856398,SBM Onshore Post reset,2856399,2398329",2033-05-19,2015-12-31,,,,,,,,2023-01-02,,,,,MERO 2 - GTG3 - GG,UNI761109,Active,SY1411628,,,,,,,,,,,,,,,,,,,,GE,,,,,
8,GG679403,,679403,,,SBM OFFSHORE,MERO 2,BRAZIL,Latin America,Gas Generator,,LM2500+G4,,RC-MD,,Under Installation,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,,,,,"FPSO SEPETIBA, SANTOS BASIN, BRAZIL",,,BRAZIL,,,,,BRAZIL,,,,,,,,,,,,,N,,,,,SBM OFFSHORE,,SBM OFFSHORE,N,6.43478769999999,3.43994109999994,Active,Under Installation,PLA00449611,N,"FPSO SEPETIBA, SANTOS BASIN, BRAZIL",,,,,,N,,,,,,,,,,,,,MERO2 - GTG2,PLA00449611,Active,,Under Installation,UNI761108,"Oliveira Filho, Jorge",210030578,AGR375,SBM,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"285X075,285X076,285X077,285X078,285X079,SBM-OnShore,2856394,2856395,2856396,2856397,2856398,SBM Onshore Post reset,2856399,2398329",2033-05-19,2015-12-31,,,,,,,,2023-01-02,,,,,MERO 2 - GTG2 - GG,UNI761108,Active,SY1411627,,,,,,,,,,,,,,,,,,,,GE,,,,,
9,GG679401,,679401,,,SBM OFFSHORE,MERO 2,BRAZIL,Latin America,Gas Generator,,LM2500+G4,,RC-MD,,Under Installation,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,,,,,"FPSO SEPETIBA, SANTOS BASIN, BRAZIL",,,BRAZIL,,,,,BRAZIL,,,,,,,,,,,,,N,,,,,SBM OFFSHORE,,SBM OFFSHORE,N,6.43478769999999,3.43994109999994,Active,Under Installation,PLA00449611,N,"FPSO SEPETIBA, SANTOS BASIN, BRAZIL",,,,,,N,,,,,,,,,,,,,MERO2 - GTG1,PLA00449611,Active,,Under Installation,UNI761107,"Oliveira Filho, Jorge",210030578,AGR375,SBM,,,Singular Annular Combustor (SAC),,,,,,,,,,,,,,,"285X075,285X076,285X077,285X078,285X079,SBM-OnShore,2856394,2856395,2856396,2856397,2856398,SBM Onshore Post reset,2856399,2398329",2033-05-19,2015-12-31,,,,,,,,,,,,,MERO 2 - GTG1 - GG,UNI761107,Active,SY1411626,,,,,,,,,,,,,,,,,,,,GE,,,,,
